L(T-1),L(T-2),L(T-24),L(T-48),P(T-1),P(T-2),P(T-24),P(T-48),Day,Season,L(T)
4851.9,4309.93,5257.03,4574.5,2313.77,2333.89,2328.34,2285.62,1,2,5604.93
5604.93,4851.9,5527.9,5217.88,2005.82,2313.77,2143.3,2097.21,1,2,6012.75
6012.75,5604.93,5820.83,5314.53,1886.45,2005.82,2024.52,2008.19,1,2,6163.53
6163.53,6012.75,5910.98,5471.73,1810.42,1886.45,1942.67,2008.32,1,2,6310.3
6310.3,6163.53,6189.18,5974.5,1805.42,1810.42,2071.41,2038.73,1,2,6606.13
6606.13,6310.3,6729.88,6508.18,1953.64,1805.42,2394.49,2301.64,1,2,7279.38
7279.38,6606.13,8484.83,8663.05,2155.02,1953.64,2701.87,2802.31,1,2,8609.63
8609.63,7279.38,10570.88,10379.7,2692.21,2155.02,4055.25,4250.51,1,2,10186.25
10186.25,8609.63,10504.85,9045.73,3290,2692.21,6039.89,5850.8,1,2,10860.02
10860.02,10186.25,9164.7,8355.2,3937.08,3290,6600.56,6225.65,1,2,10066.85
10066.85,10860.02,8598.35,8434.38,5377.61,3937.08,6325.49,5475.39,1,2,9423.08
9423.08,10066.85,7939.57,7714.9,3926.82,5377.61,5582.63,4500.57,1,2,8588.13
8588.13,9423.08,7617.82,7459.96,3872.78,3926.82,4493.84,3852.24,1,2,7886.65
7886.65,8588.13,6910.5,6846.3,3471.97,3872.78,3230.69,3000.62,1,2,7008.93
7008.93,7886.65,7603.18,7514.65,2985.87,3471.97,3002.95,2948.9,1,2,7518.46
7518.46,7008.93,8918.3,8582.28,2764.99,2985.87,3011.29,2893.01,1,2,8461.16
8461.16,7518.46,9828.75,9662.45,2820.09,2764.99,3862.86,3399.06,1,2,9404.9
9404.9,8461.16,9223.2,8567.95,3030.31,2820.09,3801.82,3105.03,1,2,7135.12
7135.12,9404.9,9873.15,9863.39,2700.82,3030.31,4585.06,3751.87,1,2,7746.87
7746.87,7135.12,8771.48,8525.5,3207.19,2700.82,4367.75,3514.72,1,2,7052.01
7052.01,7746.87,7461.91,6762.93,3225.13,3207.19,3199.2,2870.52,1,2,5696.35
5696.35,7052.01,5653.7,5402.35,2612.05,3225.13,2691.77,2636.81,1,2,4741.45
